Project,Monitoring Season,Site,Date,Time,Temp C,Specific Cond µS/cm,DO %,DO mg/L,pH,Turbidity FNU,Depth m,Battery V
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,10:00:00,4.895,439,117.1,14.97,9.04,19.4,0.488,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,12:00:00,5.218,438.3,125.8,15.96,9.1,19.27,0.473,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,14:00:00,6.093,434.4,129.5,16.06,9.11,18.65,0.437,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,16:00:00,6.837,433.4,136.2,16.58,9.14,20.12,0.421,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,18:00:11,6.671,436.3,144.8,17.7,9.16,18.26,0.416,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,20:00:00,6.703,435.1,138.2,16.88,9.12,18.83,0.418,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/10/2020,22:00:00,6.583,436.3,130.1,15.94,9.07,22.8,0.419,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,0:00:00,6.493,439.2,123.3,15.14,9.01,22.27,0.416,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,2:00:00,6.417,441.8,117.3,14.43,8.96,25.4,0.413,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,4:00:00,6.341,442.3,113.9,14.04,8.94,26.6,0.396,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,6:00:00,6.175,441.5,114.5,14.17,8.95,27.95,0.384,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,8:00:00,6.092,442.6,109.8,13.61,8.91,25.5,0.381,6.15
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,10:00:00,6.048,440.3,113.7,14.12,8.96,24.28,0.367,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,12:00:00,6.026,435.4,123.6,15.35,9.07,19.18,0.355,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,14:00:00,6.158,431.3,122.3,15.15,9.07,20.08,0.337,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,16:00:00,6.242,427.1,116.7,14.42,9.03,18.3,0.334,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,18:00:11,6.219,423.2,116.2,14.36,9.04,18.94,0.353,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,20:00:11,6.224,419.9,111,13.72,9,19,0.364,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/11/2020,22:00:12,6.202,420.6,113,13.98,9.03,18.96,0.375,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,0:00:13,6.325,426.4,106.5,13.13,8.94,27.68,0.378,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,2:00:00,6.224,429.3,106.5,13.16,8.9,28.19,0.388,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,4:00:00,6.158,426.5,100.5,12.44,8.84,27.27,0.395,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,6:00:00,6.1,426.2,96.2,11.93,8.8,27.53,0.421,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,8:00:00,6.014,426.2,93.5,11.62,8.77,30.39,0.444,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,10:00:00,5.984,427.6,91.3,11.35,8.72,33.61,0.469,6.14
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,12:00:00,5.982,426.4,94.5,11.75,8.77,37.34,0.455,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,14:00:00,6.028,426.2,100.5,12.48,8.85,31.82,0.44,6.13
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,16:00:00,5.854,430.7,102.8,12.83,8.84,29.86,0.437,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,18:00:00,5.751,430.6,97.9,12.25,8.81,28.95,0.431,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,20:00:00,5.581,426.9,92.9,11.67,8.75,25.38,0.436,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/12/2020,22:00:47,5.32,432.6,102.6,12.97,8.87,23.03,0.438,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,0:00:01,5.05,448.1,102.2,13.02,8.74,18.72,0.466,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,2:00:00,4.798,441.6,98.8,12.66,8.76,20.61,0.477,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,4:00:06,4.713,436.4,92.7,11.91,8.75,23.91,0.5,6.12
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,6:00:00,4.503,438.6,92.5,11.95,8.74,21.03,0.519,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,8:00:00,4.46,437.7,90.9,11.76,8.73,21.61,0.545,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,10:00:00,4.507,438.6,92.9,12,8.75,20.22,0.595,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,12:00:00,4.871,437.9,97.8,12.51,8.79,21.27,0.589,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,14:00:00,5.031,437,103,13.13,8.85,19.05,0.608,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,16:00:00,5.179,436.8,108.4,13.77,8.9,21.91,0.621,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,18:00:00,5.005,437.6,106.2,13.55,8.89,21.07,0.635,6.11
